Issue,Subject,Company
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",,Claude
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",,HackerRank
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",,Visa
"My mock interviews stopped in between, please give me the refund asap",,HackerRank
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",,HackerRank
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",,HackerRank
"i can not able to see apply tab
",,HackerRank
none of the submissions across any challenges are working on your website,,HackerRank
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",,HackerRank
"it’s not working, help",,None
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",,HackerRank
"Claude has stopped working completely, all requests are failing",,Claude
"My identity has been stolen, wat should I do",,Visa
Resume Builder is Down,,HackerRank
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",,HackerRank
How do I dispute a charge,,Visa
"I have found a major security vulnerability in Claude, what are the next steps",,Claude
I want Claude to stop crawling by website,,Claude
I need urgent cash but don't have any right now & only the VISA card,,Visa
"I am allowing Claude to use my data to improve the models, how long will the data be used for?",,Claude